date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:19	236/236	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2006:27:18%20GMT	https://jpmachado.art/robots.txt		(from )
11:57:20	7909/7909	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2006:27:18%20GMT	https://jpmachado.art/	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/index.html	(from )
11:57:20	1151/1151	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202017%2015:57:20%20GMT	https://jpmachado.art/assets/css/reset.css	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/assets/css/reset.css	(from https://jpmachado.art/)
11:57:21	80612/80612	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Aug%202017%2015:16:30%20GMT	https://jpmachado.art/assets/css/plugins.css	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/assets/css/plugins.css	(from https://jpmachado.art/)
11:57:21	54213/54213	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202017%2019:03:50%20GMT	https://jpmachado.art/assets/css/style.css	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/assets/css/style.css	(from https://jpmachado.art/)
11:57:21	54/54	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Aug%202017%2021:49:02%20GMT	https://jpmachado.art/assets/css/yourstyle.css	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/assets/css/yourstyle.css	(from https://jpmachado.art/)
11:57:21	7411/7411	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Mar%202018%2001:08:44%20GMT	https://jpmachado.art/libs/ajaxform/ajaxform.css	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/libs/ajaxform/ajaxform.css	(from https://jpmachado.art/)
11:57:21	3561/3561	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jul%202018%2022:32:54%20GMT	https://jpmachado.art/custom.css	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/custom.css	(from https://jpmachado.art/)
11:57:22	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2001%20Mar%202018%2002:50:30%20GMT	https://jpmachado.art/assets/images/favicon.ico	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/assets/images/favicon.ico	(from https://jpmachado.art/)
11:57:22	2047/2047	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Feb%202018%2021:22:32%20GMT	https://jpmachado.art/assets/images/logo.png	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/assets/images/logo.png	(from https://jpmachado.art/)
11:57:23	7909/7909	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2006:27:21%20GMT	https://jpmachado.art/en/home/	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/en/home/index.html	(from https://jpmachado.art/)
11:57:23	73196/73196	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2002:37:30%20GMT	https://jpmachado.art/assets/images/bg-juan-pablo-machado-home.jpg	C:/Users/91828/Desktop/New%20folder/portfolio/jpmachado.art/assets/images/bg-juan-pablo-machado-home.jpg	(from https://jpmachado.art/)
